2021-07-11 05:56:53 startup archives install
2021-07-11 05:56:54 install base-passwd:amd64 <none> 3.5.46
2021-07-11 05:56:54 status half-installed base-passwd:amd64 3.5.46
2021-07-11 05:56:56 status unpacked base-passwd:amd64 3.5.46
2021-07-11 05:56:56 configure base-passwd:amd64 3.5.46 3.5.46
2021-07-11 05:56:56 status half-configured base-passwd:amd64 3.5.46
2021-07-11 05:56:56 status installed base-passwd:amd64 3.5.46
2021-07-11 05:56:57 startup archives install
2021-07-11 05:56:57 install base-files:amd64 <none> 10.3+deb10u10
2021-07-11 05:56:57 status half-installed base-files:amd64 10.3+deb10u10
2021-07-11 05:57:00 status unpacked base-files:amd64 10.3+deb10u10
2021-07-11 05:57:00 configure base-files:amd64 10.3+deb10u10 10.3+deb10u10
2021-07-11 05:57:01 status half-configured base-files:amd64 10.3+deb10u10
2021-07-11 05:57:01 status installed base-files:amd64 10.3+deb10u10
2021-07-11 05:57:02 startup archives install
2021-07-11 05:57:02 upgrade dpkg 1.19.7 1.19.7
2021-07-11 05:57:02 status half-configured dpkg 1.19.7
2021-07-11 05:57:02 status unpacked dpkg 1.19.7
2021-07-11 05:57:02 status half-installed dpkg 1.19.7
2021-07-11 05:57:14 status unpacked dpkg:amd64 1.19.7
2021-07-11 05:57:14 configure dpkg:amd64 1.19.7 1.19.7
2021-07-11 05:57:15 status half-configured dpkg:amd64 1.19.7
2021-07-11 05:57:15 status installed dpkg:amd64 1.19.7
2021-07-11 05:57:15 startup archives install
2021-07-11 05:57:16 install libc6:amd64 <none> 2.28-10
2021-07-11 05:57:16 status half-installed libc6:amd64 2.28-10
2021-07-11 05:57:47 status unpacked libc6:amd64 2.28-10
2021-07-11 05:57:47 configure libc6:amd64 2.28-10 2.28-10
2021-07-11 05:57:47 status half-configured libc6:amd64 2.28-10
2021-07-11 05:57:48 status installed libc6:amd64 2.28-10
2021-07-11 05:57:49 startup archives install
2021-07-11 05:57:49 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2021-07-11 05:57:49 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:58:23 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:58:24 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-07-11 05:58:24 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:58:24 status installed perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:58:24 startup archives install
