2021-07-11 05:17:34 startup archives install
2021-07-11 05:17:35 install base-passwd:amd64 <none> 3.5.46
2021-07-11 05:17:35 status half-installed base-passwd:amd64 3.5.46
2021-07-11 05:17:37 status unpacked base-passwd:amd64 3.5.46
2021-07-11 05:17:38 configure base-passwd:amd64 3.5.46 3.5.46
2021-07-11 05:17:38 status half-configured base-passwd:amd64 3.5.46
2021-07-11 05:17:38 status installed base-passwd:amd64 3.5.46
2021-07-11 05:17:38 startup archives install
2021-07-11 05:17:39 install base-files:amd64 <none> 10.3+deb10u10
2021-07-11 05:17:39 status half-installed base-files:amd64 10.3+deb10u10
2021-07-11 05:17:42 status unpacked base-files:amd64 10.3+deb10u10
2021-07-11 05:17:42 configure base-files:amd64 10.3+deb10u10 10.3+deb10u10
2021-07-11 05:17:43 status half-configured base-files:amd64 10.3+deb10u10
2021-07-11 05:17:43 status installed base-files:amd64 10.3+deb10u10
2021-07-11 05:17:43 startup archives install
2021-07-11 05:17:43 upgrade dpkg 1.19.7 1.19.7
2021-07-11 05:17:43 status half-configured dpkg 1.19.7
2021-07-11 05:17:43 status unpacked dpkg 1.19.7
2021-07-11 05:17:44 status half-installed dpkg 1.19.7
2021-07-11 05:17:55 status unpacked dpkg:amd64 1.19.7
2021-07-11 05:17:56 configure dpkg:amd64 1.19.7 1.19.7
2021-07-11 05:17:57 status half-configured dpkg:amd64 1.19.7
2021-07-11 05:17:57 status installed dpkg:amd64 1.19.7
2021-07-11 05:17:57 startup archives install
2021-07-11 05:17:58 install libc6:amd64 <none> 2.28-10
2021-07-11 05:17:58 status half-installed libc6:amd64 2.28-10
2021-07-11 05:18:32 status unpacked libc6:amd64 2.28-10
2021-07-11 05:18:33 configure libc6:amd64 2.28-10 2.28-10
2021-07-11 05:18:33 status half-configured libc6:amd64 2.28-10
2021-07-11 05:18:34 status installed libc6:amd64 2.28-10
2021-07-11 05:18:34 startup archives install
2021-07-11 05:18:34 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2021-07-11 05:18:34 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:19:08 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:19:09 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-07-11 05:19:09 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:19:09 status installed perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 05:19:09 startup archives install
2021-07-11 05:19:10 install mawk:amd64 <none> 1.3.3-17+b3
2021-07-11 05:19:10 status half-installed mawk:amd64 1.3.3-17+b3
2021-07-11 05:19:12 status unpacked mawk:amd64 1.3.3-17+b3
2021-07-11 05:19:12 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-07-11 05:19:12 status half-configured mawk:amd64 1.3.3-17+b3
2021-07-11 05:19:12 status installed mawk:amd64 1.3.3-17+b3
2021-07-11 05:19:12 startup archives unpack
2021-07-11 05:19:13 install libacl1:amd64 <none> 2.2.53-4
2021-07-11 05:19:13 status half-installed libacl1:amd64 2.2.53-4
2021-07-11 05:19:14 status unpacked libacl1:amd64 2.2.53-4
2021-07-11 05:19:15 install adduser:all <none> 3.118
2021-07-11 05:19:15 status half-installed adduser:all 3.118
2021-07-11 05:19:22 status unpacked adduser:all 3.118
2021-07-11 05:19:22 install apt:amd64 <none> 1.8.2.3
2021-07-11 05:19:22 status half-installed apt:amd64 1.8.2.3
2021-07-11 05:19:32 status unpacked apt:amd64 1.8.2.3
2021-07-11 05:19:32 install libapt-pkg5.0:amd64 <none> 1.8.2.3
2021-07-11 05:19:32 status half-installed libapt-pkg5.0:amd64 1.8.2.3
2021-07-11 05:19:39 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2021-07-11 05:19:39 install libattr1:amd64 <none> 1:2.4.48-4
2021-07-11 05:19:39 status half-installed libattr1:amd64 1:2.4.48-4
2021-07-11 05:19:41 status unpacked libattr1:amd64 1:2.4.48-4
2021-07-11 05:19:41 install libaudit-common:all <none> 1:2.8.4-3
2021-07-11 05:19:41 status half-installed libaudit-common:all 1:2.8.4-3
2021-07-11 05:19:42 status unpacked libaudit-common:all 1:2.8.4-3
2021-07-11 05:19:42 install libaudit1:amd64 <none> 1:2.8.4-3
2021-07-11 05:19:42 status half-installed libaudit1:amd64 1:2.8.4-3
2021-07-11 05:19:43 status unpacked libaudit1:amd64 1:2.8.4-3
2021-07-11 05:19:44 upgrade base-files:amd64 10.3+deb10u10 10.3+deb10u10
2021-07-11 05:19:44 status half-configured base-files:amd64 10.3+deb10u10
2021-07-11 05:19:44 status unpacked base-files:amd64 10.3+deb10u10
2021-07-11 05:19:44 status half-installed base-files:amd64 10.3+deb10u10
2021-07-11 05:19:47 status unpacked base-files:amd64 10.3+deb10u10
2021-07-11 05:19:48 upgrade base-passwd:amd64 3.5.46 3.5.46
2021-07-11 05:19:48 status half-configured base-passwd:amd64 3.5.46
2021-07-11 05:19:48 status unpacked base-passwd:amd64 3.5.46
2021-07-11 05:19:48 status half-installed base-passwd:amd64 3.5.46
2021-07-11 05:19:50 status unpacked base-passwd:amd64 3.5.46
2021-07-11 05:19:51 install bash:amd64 <none> 5.0-4
2021-07-11 05:19:51 status half-installed bash:amd64 5.0-4
2021-07-11 05:19:56 status unpacked bash:amd64 5.0-4
